frame,altitude,airspeed,direction
11105,11.1,28.1,14.52
11133,11.25,27.2,13.51
11161,11.3,26.5,12
11179,11.3,26,11
11180,11.30,26.00,10.97
11181,11.29,26.00,10.95
11182,11.29,26.00,10.92
11183,11.29,26.00,10.89
11184,11.29,26.00,10.87
11185,11.28,26.00,10.84
11186,11.28,26.00,10.82
11187,11.28,26.00,10.79
11188,11.28,26.00,10.76
11189,11.27,26.00,10.74
11190,11.27,26.00,10.71
11191,11.27,26.00,10.68
11192,11.27,26.00,10.66
11193,11.26,26.00,10.63
11194,11.26,26.00,10.61
11195,11.26,26.00,10.58
11196,11.26,26.00,10.55
11197,11.25,26.00,10.53
11198,11.25,26,10.5
11461,11.8,21.5,7
11926,11.03,29,15.5
11944,10.91,29.70,15.50
11945,10.91,29.75,15.50
11946,10.92,29.80,15.51
11947,10.92,29.85,15.51
11948,10.93,29.90,15.51
11949,10.93,29.95,15.52
11950,10.93,30.00,15.52
11951,10.94,30.05,15.52
11952,10.94,30.10,15.52
11953,10.95,30.15,15.53
11954,10.95,30.20,15.53
12415,12.08,40.7,14.4
12555,12.25,38.8,9.1
12556,12.26,38.80,9.07
12557,12.27,38.80,9.04
12558,12.27,38.80,9.01
12559,12.28,38.80,8.98
12560,12.29,38.80,8.95
12561,12.30,38.80,8.92
12562,12.30,38.80,8.88
12563,12.31,38.80,8.85
12564,12.32,38.80,8.82
12565,12.33,38.80,8.79
12566,12.33,38.80,8.76
12567,12.34,38.80,8.73
12568,12.35,38.8,8.7
12566,12.25,38.80,8.70
12567,12.25,38.77,8.72
12568,12.25,38.73,8.74
12569,12.25,38.70,8.77
12570,12.25,38.67,8.79
12571,12.25,38.63,8.81
12572,12.25,38.60,8.83
12573,12.25,38.57,8.86
12574,12.25,38.53,8.88
12575,12.25,38.5,8.9
12587,12.25,38.3,9.5
12694,12.57,36.2,14.5
12708,12.6,36.2,15
12709,12.61,36.16,15.05
12710,12.62,36.13,15.11
12711,12.63,36.10,15.16
12712,12.63,36.08,15.22
12713,12.64,36.06,15.28
12714,12.64,36.04,15.33
12715,12.64,36.02,15.39
12716,12.65,36.01,15.44
12717,12.65,36.00,15.50
12718,12.65,35.99,15.56
12719,12.65,35.99,15.61
12720,12.65,35.98,15.66
12721,12.65,35.98,15.72
12722,12.65,35.98,15.77
12723,12.65,35.98,15.82
12724,12.65,35.98,15.86
12725,12.65,35.98,15.91
12726,12.65,35.98,15.96
12727,12.65,35.99,16.00
12728,12.65,35.99,16.04
12729,12.65,35.99,16.08
12730,12.65,36.00,16.11
12731,12.65,36.00,16.14
12732,12.65,36.00,16.17
12733,12.65,36.00,16.20
12734,12.65,36.00,16.22
12735,12.65,36.00,16.24
12736,12.66,36.00,16.26
12737,12.66,35.99,16.28
12738,12.66,35.99,16.29
12739,12.66,35.99,16.30
12740,12.67,35.98,16.32
12741,12.67,35.98,16.33
12742,12.67,35.98,16.34
12743,12.68,35.97,16.35
12744,12.68,35.97,16.36
12745,12.68,35.97,16.38
12746,12.69,35.97,16.39
12747,12.69,35.98,16.41
12748,12.69,35.98,16.43
12749,12.70,35.98,16.45
12750,12.70,35.99,16.47
12751,12.70,36.00,16.50
12752,12.70,36.01,16.53
12753,12.70,36.02,16.57
12754,12.70,36.04,16.61
12755,12.70,36.06,16.65
12756,12.70,36.07,16.69
12757,12.70,36.09,16.74
12758,12.70,36.11,16.79
12759,12.70,36.13,16.84
12760,12.70,36.14,16.89
12761,12.70,36.16,16.94
12762,12.70,36.17,16.99
12763,12.70,36.19,17.05
12764,12.70,36.20,17.10
12765,12.70,36.21,17.15
12766,12.70,36.22,17.21
